poet,sequence,word,split,joined,unsure,scansion,is_heavy,primary_stress,line
Kailas,au,laulais,0,1,0,S,0,1,ja LAULAIS mulle 
Kailas,iu,liuta,0,1,0,S,0,1,LIUTA.
Kailas,{y,t{ynn{,0,1,0,S,0,1,ja kas--se on kes{{ T{YNN{!
Kailas,ou,rukoukseen,0,0,1,unknown,1,0,niinkuin k{sivarret RUKOUKSEEN ojetut.
Kailas,ou,joudut,0,1,0,S,0,1,JOUDUT kanssa 
Kailas,au,kaipauksen,1,0,0,WS,1,0,kanssa KAIPAUKSEN.
Kailas,au,kaukaa,0,1,0,S,0,1,KAUKAA viittoo se jo k{tt{{n.
Kailas,|y,l|yd{t,0,1,0,S,1,1,L|YD{T soman sammalm{tt{{n.
Kailas,ou,jousen,0,1,0,S,0,1,saisinpa taattoni j{ntev{n JOUSEN
Kailas,ou,nousen,0,1,0,S,0,1,"jos kotivuorelle NOUSEN,"
Kailas,au,kaipaus,0,1,0,S,1,0,KAIPAUS yltyy vaan:
Kailas,ou,nousee,0,1,0,S,0,1,varis vaakkuu. NOUSEE ukonpilvet
Kailas,au,haudassa,0,1,0,S,0,1,ah min{ tied{n: HAUDASSA sin{
Kailas,{y,t{ydellisen,0,1,0,S,1,1,tuokio onnen T{YDELLISEN.
Kailas,au,hautaristille,0,1,0,S,0,1,»t{{ kalle kiipee HAUTARISTILLE
Kailas,{y,n{ytti,0,1,0,S,0,1,"jo N{YTTI siihen mies se tupertui,"
Kailas,{y,uiman{yt|st{,0,1,0,S,1,0,mies suunnittelee UIMAN{YT|ST{
Kailas,au,sauhutellen,0,1,0,S,0,1,SAUHUTELLEN 
Kailas,au,laukaus,0,1,0,S,0,1,nyt!--LAUKAUS ja luotisihin{.
Kailas,au,aurinko,0,1,0,S,0,1,kun AURINKO on painumassa mereen.
Kailas,iu,hiusten,0,1,0,S,1,1,m{rkien HIUSTEN 
Kailas,au,kaipaus,1,0,0,W,1,0,KAIPAUS syd{nt{ sy|.
