0,1,2,3,,5,6,,8,9,10,11,12,,14
id,gold base,test base,note,,test 1,test 2,,syll 1,syll 2,syll 3,syll 4,fixed,,type
939542,kvaerner,kvaerner,[foreign - updated],,kva.er.ner,,,kvaer.ner,kva.er.ner,,,x,,loanword inconsistencies
335709,kvaernerin,kvaernerin,[foreign],,kva.er.ne.rin,,,kvaer.ne.rin,kva.er.ne.rin,,,,,
182387,beat,beat,[foreign],,be.at,,,be.at,beat,,,,,
133137,beatles,beatles,[foreign],,be.at.les,,,be.at.les,beat.les,,,,,
184382,dean,dean,[foreign],,de.an,,,de.an,dean,,,,,
147835,finnwear,finnwear,[foreign - updated],,finn.we.ar,,,finn.wear,finn.we.ar,,,x,,
844474,team,team,[foreign],,te.am,,,te.am,team,,,,,
344562,barkleyn,barkleyn,[foreign - updated],,bark.le.yn,bark.leyn,,bark.leyn,bark.le.yn,,,x,,
89284,sydneyn,sydneyn,[foreign - updated],,syd.ne.yn,syd.neyn,,syd.neyn,syd.ne.yn,,,x,,
777025,sydneyssä,sydneyssä,[foreign - updated],,syd.ne.ys.sä,syd.neys.sä,,syd.neys.sä,syd.ne.ys.sä,,,x,,
770561,volleyn,volleyn,[foreign - updated],,vol.le.yn,vol.leyn,,vol.leyn,vol.le.yn,,,x,,
741504,jamie,jamie,[foreign],,ja.mi.e,,,ja.mi.e,ja.mie,,,,,
861515,jeremies,jeremies,[foreign],,je.re.mi.es,,,je.re.mi.es,je.re.mies,,,,,
528895,review,review,[foreign - updated],,re.vi.ew,,,re.view,re.vi.ew,,,x,,
181697,millennium-gaaloissaan,millen=nium-gaaloissaan,[foreign - updated],,mil.len.nium-gaa.lois.saan,,,mil.len.ni.um-gaa.lois.saan,mil.len.nium-gaa.lois.saan,,,x,,
457963,moratorium,moratorium,[foreign - updated],,mo.ra.to.ri.um,mo.ra.to.rium,,mo.ra.to.ri.um,mo.ra.to.rium,,,x,,
778328,stenius,stenius,[foreign - updated],,ste.ni.us,ste.nius,,ste.ni.us,sten.ius,,,x,,
706074,phoenix,phoenix,[foreign - updated],,pho.e.nix,,,phoe.nix,pho.e.nix,,,x,,
48918,phoenixin,phoenixin,[foreign - updated],,pho.e.ni.xin,,,phoe.ni.xin,pho.e.ni.xin,,,x,,
401943,arnoud,arnoud,[foreign - updated],,ar.no.ud,ar.noud,,ar.noud,ar.no.ud,,,x,,
598739,strasbourgiin,strasbourgiin,[foreign - updated],,stras.bo.ur.giin,stras.bour.giin,,stras.bour.giin,stras.bo.ur.giin,,,x,,
830462,strasbourgissa,strasbourgissa,[foreign - updated],,stras.bo.ur.gis.sa,stras.bour.gis.sa,,stras.bour.gis.sa,stras.bo.ur.gis.sa,,,x,,
45642,louis,louis,[foreign],,lo.uis,,,lou.is,,,,,,
169365,louise,louise,[foreign],,lo.ui.se,,,lou.i.se,,,,,,
391676,blue,blue,[foreign],,blu.e,,,blu.e,blue,,,,,
631663,blues,blues,[foreign],,blu.es,,,blu.es,blues,,,,,
493378,blues,blues,[foreign],,blu.es,,,blu.es,blues,,,,,
42101,bluesin,bluesin,[foreign],,blu.e.sin,,,blu.e.sin,blue.sin,,,,,
910180,hain,hain,[k-deletion],,hain,,,ha.in,hain,,,,,underlying /k/ deletion
428869,lainkaan,lainkaan,[k-deletion - updated],,lain.kaan,,,la.in.kaan,lain.kaan,,,x,,
768590,laissa,laissa,[k-deletion],,lais.sa,,,lais.sa,la.is.sa,,,,,
16833,haussa,haussa,[k-deletion],,haus.sa,,,haus.sa,ha.us.sa,,,,,
