,,,Nuclei,Word-final,Harmonic,SonSeq,Boundaries
,,,C1,C2,C3,C4,C5
pian,pian,1,,,,,
,pia=n,0,1,,,1,1
jugoslavian,jugoslavian,1,,,,,
,jugoslavia=n,0,1,,,1,1
taustalla,taustalla,1,,,,,
,ta=usta=lla,0,2,,,1,2
,ta=ustalla,0,1,,,,1
,tausta=lla,0,1,,,1,1
yorkin,yorkin,1,,,1,,
,york=in,0,1,1,1,,1
sydneyn,sydneyn,1,,,,,
,sydney=n,0,1,,,1,1
yorkissa,yorkissa,1,,,1,,
,york=issa,0,,1,1,,1
hovioikeus,hovi=oikeus,1,,,,,1
,hovioikeus,0,,,,,
tshetsheniassa,tshetsheniassa,1,,,,1,
,tshetshenia=ssa,0,1,,,2,1
belgradin,belgradin,1,,,,,
,belgrad=in,0,1,,,,1
mclaren,mclaren,1,,,,1,
,mclar=en,0,2,,,1,1
belgradissa,belgradissa,1,,,,,
,belgrad=issa,0,,,,,1
piano,piano,1,,,,,
,pia=no,0,1,,,,1
piakkoin,piakkoin,1,,,,,
,pia=kko=in,0,2,,,1,2
,pia=kkoin,0,,,,1,1
,piakko=in,0,1,,,,1
luin,luin,1,,,,,
,lu=in,0,2,,,,1
selviytyä,selviytyA,1,,,,,
,selvi=yty=A,0,1,,,,2
,selvi=ytyA,0,,,,,1
,selviyty=A,0,1,,,,1
phoenix,phoenix,1,,1,,1,
,p=ho=en=ix,0,4,2,,1,3
,p=ho=enix,0,2,2,,1,2
,p=hoen=ix,0,2,2,,1,2
,p=hoenix,0,1,2,,1,1
,pho=en=ix,0,3,1,,1,2
,pho=enix,0,1,1,,1,1
,phoen=ix,0,1,1,,1,1
laissa,laissa,1,,,,,
,la=issa,0,1,,,,1
andrew,andrew,1,,1,,,
,an=drew,0,2,1,,,1
bluesin,bluesin,1,,,,,
,blues=in,0,1,,,,1
pinochetin,pinochetin,1,,,,,
,pinochet=in,0,1,,,,1
belgradiin,belgradiin,1,,,,,
,belgrad=iin,0,,,,,1
tshetsheniaan,tshetsheniaan,1,,,,1,
,tshetshenia=an,0,1,,,1,1
taustaa,taustaa,1,,,,,
,taus=taa,0,,,,,1
yorkiin,yorkiin,1,,,1,,
,york=iin,0,,1,1,,1
kvaernerin,kvaernerin,1,,,,,
,kvaerner=in,0,1,,,,1
haussa,haussa,1,,,,,
,hau=ssa,0,1,,,1,1
sydneyssä,sydneyssA,1,,,,,
,sydney=ssA,0,1,,,1,1
maun,maun,1,,,,,
,mau=n,0,1,,,1,1
detroit,detroit,1,,,,,
,det=ro=it,0,3,,,,2
,det=roit,0,1,,,,1
,detro=it,0,1,,,,1
wimbledonin,wimbledonin,1,,,,,
,wim=b=le=don=in,0,5,2,,1,4
,wim=b=le=donin,0,3,2,,1,3
,wim=b=ledon=in,0,3,2,,1,3
,wim=b=ledonin,0,2,2,,1,2
,wim=ble=don=in,0,4,1,,,3
,wim=ble=donin,0,2,1,,,2
,wim=bledon=in,0,2,1,,,2
,wim=bledonin,0,1,1,,,1
,wimb=le=don=in,0,4,1,,,3
,wimb=le=donin,0,2,1,,,2
,wimb=ledon=in,0,2,1,,,2
,wimb=ledonin,0,1,1,,,1
,wimble=don=in,0,2,,,,2
,wimble=donin,0,,,,,1
,wimbledon=in,0,1,,,,1
