  freq  compound    orth
------  ----------  --------------------------------------------------
    91              Ramsaun MM
    24  C           haja-asutusalueen
     1  C           luokanopettaja-voimistelunopettaja
     1  C           UPM-Kymmene Energian
     1  C           Make Up ABC
     1  C           tiedemies-isän
  3616              sen sijaan
  3507              muun muassa
  2315              koko ajan
  1454              samaan aikaan
  1159              sen verran
   975              joka tapauksessa
   938              ennen kaikkea
   924              joka päivä
   784              itse asiassa
   607              yhä enemmän
   561              juuri nyt
   537              mutta jos
   516              muuta kuin
   484              alun perin
   483              Tampereen yliopiston
   449              Helsingin yliopistossa
   441              tämän päivän
   418              samalla kun
   412              Länsi-Suomen
   402              perjantai-iltana
   393              vasta kun
   388              maanantai-iltana
   384              saman verran
   371              näin ollen
   366              torstai-iltana
   347              tiistai-iltana
   347              Helsingin yliopiston
   322              kuka tahansa
   314              aina kun
   306              Olli-Pekka
   297              Tampereen yliopistossa
   282              taas kerran
   276              Suomi-yhtiön
   276              vapaa-ajan
   266              mitä tahansa
   263              ala-asteen
   258              joka toinen
   258              toisensa jälkeen
   253              UPM-Kymmenen
   253              hyvissä ajoin
   251              sen enempää
   209              sen paremmin
   208              UPM-Kymmene
   200              pitkästä aikaa
   193              Keski-Euroopan
   185              tämän vuoksi
   184              diplomi-insinööri
   182              yhtä mieltä
   172              Turun yliopistossa
   168              Stora Enson
   149              keski-ikä
   148              eri tavoin
   142              Metsä-Serlan
   140              ennen pitkää
   139              keski-ikäinen
   138              Helsingin Puhelin
   136              Maija-Liisa
   133              vuodesta toiseen
   130              Tampereen yliopistosta
   128              Metsä-Serla
   128              Oulun yliopistossa
   124              jossain määrin
   115              linja-auto
   114              Helsingin Sanomat
   105              tasa-arvon
   105              Turun yliopiston
    98              Ari-Pekka
    97              juuri kun
    91              ennen vanhaan
    89              yleisesti ottaen
    88              Tampereen yliopisto
    88              Ranta-Tampellan
    87              raaka-aineiden
    80              ennemmin tai myöhemmin
    80              te-keskus
    78              ensi-illassa
    75              Eeva-Kaarina
    70              ala-aste
    69              raaka-aineen
    68              Kuopion yliopistossa
    68              Helsingin Sanomissa
    67              Jyväskylän yliopistossa
    67              eurooppa-neuvoston
    66              Oulun yliopistosta
    63              vapaa-aikalautakunta
    61              Turun Sanomat
    58              keski-ikäisen
    58              pitkän aikaa
    58              Turun Sanomissa
    57              Tampereen ammattikorkeakoulun
    56              Etelä-Pohjanmaan
    55              Teknillisen korkeakoulun
    55              Lounais-Suomen
    53              Jyväskylän yliopistosta
    52              meille kaikille
    52              Teknillisessä korkeakoulussa
    52              valtio-opin
    51              Pallo-Veikot
    50              neuvoa-antavan
    49              ehkä juuri
    49              mihin tahansa
    47              Jussi-Pekka
    47              auto-onnettomuus
    46              niin kovin
    45              jo kertaalleen
    45              siltä osin
    44              Etelä-Suomen Sanomat
    44              omille teilleen
    42              kaikilta osin
    41              Tampereen teknillinen korkeakoulu
    38              millä tavoin
    38              Tampereen Puhelimen
    36              ihan sama
    36              sinne tänne
    32              Etelä-Hämeessä
    32              linja-autoissa
    28              Etelä-Euroopassa
    27              Hämeen Sanomissa
    26              Joensuun yliopistosta
    26              sanalla sanoen
    24              Vesa-Pekka
    23              niitä näitä
    23              Tampereen yliopistoon
    22              Helsingin kauppakorkeakoulun
    22              Hämeen Sanomien
    21              Pohjois-Amerikka
    20              eri lailla
    19              Eija-Liisa
    18              hullun lailla
    18              Suomen Kuvalehti
    16              kuorma-autoon
    16              Keski-Suomen Valon
    16              Suomen Kuvalehdessä
    16              tasa-arvovaltuutettu
    15              diplomi-insinöörin
    14              Kaupan keskusliitto
    13              ex-pääjohtaja
    13              Varma-Sampo
    13              Varma-Sammon
    13              vapaa-ajasta
    13              kulta-ajan
    12              kahvila-ravintola
    12              perhe-elämään
    10              Ranta-Tampellasta
    10              Pohjolan Voima
    10              Helsingin kauppakorkeakoulussa
    10              vuokra-ajan
     9              Uppsalan yliopistosta
     9              Luoteis-Venäjän
     9              Teollisuuden Voima
     9              puuraaka-aineen
     8              täysi-ikäiset
     8              natsi-Saksaan
     8              Veronmaksajain keskusliitto
     7              Pirkanmaan ammattikorkeakoululle
     7              Maija-Riitta
     7              Helsingin Puhelimelle
     7              Metsä-Serlalle
     6              nykypäivä-lehdessä
     5              Kotimaa-lehdessä
     5              ex-toimitusjohtaja
     5              kilpa-ajoja
     5              Niksi-Pirkka
     5              Pohjolan Voiman
     5              Helsingin kauppakorkeakoulu
     4              loma-asunnoista
     4              Suomalais-ruotsalainen
     4              Ahjola Jr
     4              finanssi-lehti
     4              surullisen kuuluisan
     4              yli-insinöörin
     4              Svenska social
     4              uusmedia-alalla
     4              Pohjola-ryhmä
     3              Keski-Ruotsiin
     3              Ala-Paavola
     3              vero-oikeuden
     3              Emu-projektipäällikkö
     3              Aberdeenin yliopistosta
     3              Turun kauppakorkeakoulu
     2              Kurun Sanomissa
     2              Suomi-kuvalle
     2              Rahola Jr
     2              Iisalmen Sanomissa
     2              Kauppakamari-lehti
     1              Suur-Savon
     1              Keski-Ojan
     1              Europa-lehdessä
     1              Centralized Cost and Risk Management
     1              ahaa-elämykseni
     1              linja-autopysäkiltä
     1              me-lukemia
     1              lotta-muistomitali
     1              Euro-Tourin
     1              yksi-pelissä
     1              Nyt-liite
     1              nollatulos-syndroomassa
     1              me-odotukset
     1              Bosnia-Herzegovina
     1              tunnetuksi tullutta
     1              Joensuun Osuuspankin
     1              Uuno-sarjan
     1              afrikkalais-miehet
     1              Dagens Industry
     1              tuottaja-toimitusjohtaja
     1              ensi-ihastumisen
     1              cafeteria-myyjä
     1              Hämeen ammattikorkeakoulua
     1              Harvardin yliopistoon
     1              U-käännöstä
     1              Mobile-liiketoiminnan
     1              Lotta-juhlasta
     1              Kangas-Ikkalan
     1              Rämäpää-Kelly
     1              sisältötuotanto-toimialaraportti
     1              Milanon yliopistosta
     1              Pikku-Ruskon
     1              linkosuo-yhtiöitten
     1              Matka-Ruka
     1              Agenda-vedolla
     1              omistaja-arvon
     1              metsäliitto-osuuskuntaan
     1              Pirkanmaan Osuuspankit
     1              sfor-joukkoihin
     1              Euro-Tour
     1              paperiliitto-lehti
     1              ilma-asiantuntija
     1              kauppakamari-lehti
     1              yleis-eurooppalaiset
     1              NK Communications
     1              FC SeMi
     1              ritariässä-autolla
     1              etellä-suomen
     1              lotta-mitalin
     1              stop-ohjelma
     1              Tähti-palkinnon
     1              Suomen kuvalehdessä
     1              pörssi-ilta
     1              Vaasan yliopistoon
     1              me-paineet
     1              sijoitusrahasto-opas
     1              linja-autotuotantoon
     1              maskeeraaja-opiskelija
     1              Mäkinen after sales
     1              kriminaalihuoltokeskus-nimisen
     1              Energia-lehti
     1              kota-tietokanta
     1              Karli-Ivannon
     1              the Theory of and Mechanisms
  1911  C           ennen kuin
  1279  C           viime aikoina
  1063  C           jo nyt
  1033  C           silloin kun
   911  C           jonkin verran
   909  C           tähän mennessä
   807  C           tähän asti
   647  C           ensi-ilta
   597  C           kun taas
   592  C           Euroopan unionin
   547  C           niin ikään
   523  C           siitä huolimatta
   497  C           sen jälkeen kun
   474  C           sitä paitsi
   468  C           sen mukaan
   460  C           Itä-Timorin
   449  C           samoin kuin
   434  C           että kun
   430  C           Veli-Matti
   421  C           silloin tällöin
   413  C           yhtä aikaa
   408  C           heti kun
   401  C           sen vuoksi
   396  C           toisin kuin
   394  C           yhtä hyvin
   387  C           niin kauan kuin
   358  C           sitä kautta
   357  C           sen takia
   353  C           ennen muuta
   348  C           lauantai-iltana
   343  C           näillä näkymin
   342  C           jälleen kerran
   330  C           ilman muuta
   315  C           muutakin kuin
   310  C           Etelä-Afrikan
   308  C           loppujen lopuksi
   302  C           saman tien
   299  C           siinä missä
   293  C           Etelä-Suomen
   292  C           sunnuntai-iltana
   290  C           Maila-Katriina
   281  C           ilman että
   280  C           vasta sitten
   279  C           tässä tapauksessa
   257  C           kaiken kaikkiaan
   257  C           ensi-iltansa
   257  C           Suvi-Anne
   254  C           Keski-Suomen
   248  C           varsinkin kun
   239  C           nyt kun
   235  C           mikä tahansa
   234  C           Pohjois-Irlannin
   231  C           joka kerta
   230  C           tätä nykyä
   223  C           kuin mitä
   220  C           totta kai
   220  C           Marja-Liisa
   217  C           molemmin puolin
   214  C           paikan päällä
   209  C           Euroopan unioni
   209  C           Jukka-Pekka
   209  C           ensi kerran
   205  C           ei ihme
   196  C           viime kädessä
   195  C           Lähi-idän
   195  C           kaikesta huolimatta
   194  C           suurin piirtein
   194  C           siinä mielessä
   191  C           Jan-Erik
   191  C           Keski-Euroopassa
   190  C           muualla kuin
   189  C           siihen asti
   188  C           tästä syystä
   187  C           enemmän tai vähemmän
   184  C           Valko-Venäjän
   183  C           Sirkka-Liisa
   182  C           aika ajoin
   182  C           Pohjois-Amerikan
   182  C           sodan aikana
   181  C           Etelä-Suomessa
   181  C           yhtään mitään
   180  C           yhä useammin
   178  C           Marja-Leena
   178  C           vuosi vuodelta
