  freq  orth                                     rules                   test                                            correct             gold    compound
------  ---------------------------------------  ----------------------  ----------------------------------------------  ------------------  ------  ----------
  1224  Michael                                  T1 T2                   mic.ha.el                                       mic.ha.el           T
   941  Al                                       T0                      al                                              al                  T
   853  Bill                                     T0                      bill                                            bill                T
   794  Paul                                     T0                      paul                                            paul                T
   697  Tom                                      T0                      tom                                             tom                 T
   592  Erik                                     T1                      e.rik                                           e.rik               T
   571  Elisabeth                                T1                      e.li.sa.beth                                    e.li.sa.beth        T
   568  Mikael                                   T1 T2                   mi.ka.el                                        mi.ka.el            T
   508  Israel                                   T1 T2                   is.ra.el                                        is.ra.el            T
   430  Milosevic                                T1                      mi.lo.se.vic                                    mi.lo.se.vic        T
   419  William                                  T1 T2                   wil.li.am                                       wil.li.am           T
   374  Bryssel                                  T1                      brys.sel                                        brys.sel            T
   368  Daniel                                   T1 T8                   da.ni.el                                        da.ni.el            T
   357  Kim                                      T0                      kim                                             kim                 T
   281  Abdullah                                 T1                      ab.dul.lah                                      ab.dul.lah          T
   277  Samaranch                                T1                      sa.ma.ranch                                     sa.ma.ranch         T
   263  Alex                                     T1                      a.lex                                           a.lex               T
   240  Eric                                     T1                      e.ric                                           e.ric               T
   239  Patrick                                  T1                      pat.rick                                        pat.rick            T
   231  Leif                                     T0                      leif                                            leif                T
   231  Tim                                      T0                      tim                                             tim                 T
   230  Bob                                      T0                      bob                                             bob                 T
   224  Berg                                     T0                      berg                                            berg                T
   209  Sandell                                  T1                      san.dell                                        san.dell            T
   202  International                            T1 T2                   in.ter.na.ti.o.nal                              in.ter.na.ti.o.nal  T
   191  Group                                    T0                      group                                           group               T
   186  Joseph                                   T1                      jo.seph                                         jo.seph             T
   184  Kaj                                      T0                      kaj                                             kaj                 T
   174  Jacob                                    T1                      ja.cob                                          ja.cob              T
   167  Black                                    T0                      black                                           black               T
   156  Real                                     T2                      re.al                                           re.al               T
   153  Kiprusoff                                T1                      kip.ru.soff                                     kip.ru.soff         T
   151  Nobel                                    T1                      no.bel                                          no.bel              T
   148  Fredrik                                  T1                      fred.rik                                        fred.rik            T
   143  Kenneth                                  T1                      ken.neth                                        ken.neth            T
   123  Georg                                    T2                      ge.org                                          ge.org              T
   122  Opel                                     T1                      o.pel                                           o.pel               T
   105  Elizabeth                                T1                      e.li.za.beth                                    e.li.za.beth        T
   105  Finnish                                  T1                      fin.nish                                        fin.nish            T
   102  Hahl                                     T0                      hahl                                            hahl                T
   101  Graf                                     T0                      graf                                            graf                T
    90  Phil                                     T0                      phil                                            phil                T
    83  Borg                                     T0                      borg                                            borg                T
    81  Jörg                                     T0                      jörg                                            jörg                T
    79  Partek                                   T1                      par.tek                                         par.tek             T
    79  Kjell                                    T0                      kjell                                           kjell               T
    78  General                                  T1                      ge.ne.ral                                       ge.ne.ral           T
    77  Hongkong                                 T1                      hong.kong                                       hong.kong           T
    77  Rick                                     T0                      rick                                            rick                T
    76  Willberg                                 T1                      will.berg                                       will.berg           T
    75  Göteborg                                 T1                      gö.te.borg                                      gö.te.borg          T
    74  Financial                                T1 T2                   fi.nan.ci.al                                    fi.nan.ci.al        T
    72  Maj                                      T0                      maj                                             maj                 T
    68  Spielberg                                T1                      spiel.berg                                      spiel.berg          T
    67  Rolling                                  T1                      rol.ling                                        rol.ling            T
    65  Golf                                     T0                      golf                                            golf                T
    65  Hartwall                                 T1                      hart.wall                                       hart.wall           T
    65  Wim                                      T0                      wim                                             wim                 T
